"UACE10","GEOID10","NAME10","state","ALAND10","report_year.x","report_year.y","agency_voms","mode_voms","service_area_sq_miles","service_area_population","report_year","total_facilities","per_facilities_prior1980","per_facilities_prior2000","bin_bus","bin_demandresponse","bin_light_commuterail","bin_ferry","bin_directly_operated","bin_purchased_transportation","fare_revenues_earned","total_operating_expenses","cost_per_hour","train_miles","train_hours","passengers_per_hour","passenger_miles"
"15616","15616","Charlevoix, MI","MI",11729853,2023,2023,18,18,442,106179,2023,1,0,100,0,1,0,0,1,0,55241,1838299,84.4807,0,0,2.1097,0
"15643","15643","Charlotte, MI","MI",23117621,2023,2023,22,22,63,200169,2023,2,0,50,0,1,0,0,1,0,110468,2414660,81.2224,0,0,2.4787,0
"15670","15670","Charlotte, NC--SC","NC",1920045519,2023,2023,296,153,675,1329749,2023,53,0,3.77358490566038,6,8,4,0,9,2,17130550,216591654,2075.7366,996879,86116,116.3676,70675305
"15670","15670","Charlotte, NC--SC","SC",1920045519,2023,2023,13,13,555,103966,0,0,0,0,6,8,4,0,9,2,17130550,216591654,2075.7366,996879,86116,116.3676,70675305
"15724","15724","Charlottesville, VA","VA",89581092,2023,2023,77,68,2719,275944,2023,5,0,100,3,2,0,0,3,0,312818,21103359,369.187,0,0,22.9871,2433504
"15832","15832","Chattanooga, TN--GA","GA",777411843,2023,2023,8,8,162,70000,0,0,0,0,2,3,0,0,4,0,4992107,24836801,684.4332,20005,6344,93.0816,5747254
"15832","15832","Chattanooga, TN--GA","TN",777411843,2023,2023,76,54,289,184086,2023,10,60,90,2,3,0,0,4,0,4992107,24836801,684.4332,20005,6344,93.0816,5747254
"16183","16183","Chester, SC","SC",17924588,2023,2023,15,15,0,0,2023,0,0,0,0,1,0,0,1,0,425217,878683,41.976,0,0,1.4119,0
"16237","16237","Cheyenne, WY","WY",91135974,2023,2023,12,12,18,64610,2023,1,0,0,0,1,0,0,1,0,71094,1979499,93.2846,0,0,3.3673,0
"16264","16264","Chicago, IL--IN","IL",6321129497,2023,2023,2145,1307,3947,8615017,2023,4684,41.6666666666667,75.7246376811594,6,13,5,1,16,5,669146550,4029635737,5879.7016,22720121,1022994,269.4594,2692809620
"16264","16264","Chicago, IL--IN","IN",6321129497,2023,2023,48,48,1970,1060840,2023,29,17.2413793103448,100,6,13,5,1,16,5,669146550,4029635737,5879.7016,22720121,1022994,269.4594,2692809620
"16291","16291","Chickasha, OK","OK",25941446,2023,2023,5,5,0,0,2023,0,0,0,0,1,0,0,1,0,22945,123342,15.0527,0,0,1.1788,0
"16318","16318","Chico, CA","CA",89107270,2023,2023,37,24,186,162252,2023,3,0,0,2,2,0,0,0,2,1139190,11105492,240.6575,0,0,11.4278,2955385
"16453","16453","Chillicothe, OH","OH",44662884,2023,2023,17,13,0,0,2023,1,0,0,2,2,0,0,2,0,0,6240072,555.2032,0,0,18.4279,0
