"UACE10","GEOID10","NAME10","state","ALAND10","agency_voms","mode_voms","total_facilities","per_facilities_prior1980","per_facilities_prior2000","bin_bus","bin_demandresponse","bin_light_commuterail","bin_ferry","bin_directly_operated","bin_purchased_transportation","fare_revenues_earned","total_operating_expenses","cost_per_hour","train_miles","train_hours","passengers_per_hour","passenger_miles"
"09946","09946","Bremerton, WA","WA",353464688,213,94,26,3.84615384615385,23.0769230769231,1,3,0,1,4,0,4282877,54391424,1654.763,0,0,57.7867,12708885
"10027","10027","Brevard, NC","NC",31410294,7,5,0,0,0,2,3,0,0,2,0,2199,487517,179.7433,0,0,6.7354,0
"10162","10162","Bridgeport--Stamford, CT--NY","CT",1207883974,60,41,2,0,50,4,5,0,0,7,2,4715955,55504968,1054.9937,0,0,61.4965,19574205
"10189","10189","Bridgeton, NJ","NJ",46102339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10351","10351","Bristol--Bristol, TN--VA","TN",165271839,7,4,4,0,50,2,3,0,0,5,0,61763,3489578,582.9433,0,0,17.9313,0
"10351","10351","Bristol--Bristol, TN--VA","VA",165271839,28,28,1,0,0,2,3,0,0,5,0,61763,3489578,582.9433,0,0,17.9313,0
"10621","10621","Brookings, OR","OR",18078373,11,6,0,0,0,2,2,0,0,2,0,69102,729750,132.2913,0,0,4.5107,0
"10648","10648","Brookings, SD","SD",24565850,22,22,1,0,0,0,2,0,0,1,0,289806,1646147,60.1816,0,0,4.4555,0
"10972","10972","Brownsville, TX","TX",212109894,24,16,4,0,0,1,1,0,0,2,0,455652,6493444,203.8105,0,0,12.9395,2834192
"11350","11350","Buffalo, NY","NY",984090151,345,266,38,2.63157894736842,68.4210526315789,1,1,1,0,3,0,12083853,131201201,555.2527,344723,30960,32.9117,37181815
"11431","11431","Bullhead City, AZ--NV","AZ",75224502,10,7,0,0,0,2,2,0,0,2,0,92325,1473579,136.35,0,0,8.511,0
"11674","11674","Burlington, IA--IL","IA",40269820,26,26,0,0,0,2,2,0,0,2,0,322522,2551319,134.1608,0,0,8.3445,0
"11728","11728","Burlington, NC","NC",234210750,27,27,1,0,100,1,2,0,0,1,2,35803,3715510,298.5057,0,0,8.8384,0
"11755","11755","Burlington, VT","VT",159889307,137,52,4,25,50,2,2,0,0,3,1,1495797,19330242,379.8053,0,0,17.7859,5981608
"11998","11998","Butler, PA","PA",85107900,12,12,3,33.3333333333333,33.3333333333333,0,2,0,0,0,1,243274,472022,60.4536,0,0,2.3124,0
"12052","12052","Butte-Silver Bow, MT","MT",42753207,10,5,2,0,0,2,4,0,0,3,0,0,1287951,165.4427,0,0,12.4627,0
"12160","12160","Cadillac, MI","MI",22604252,25,25,1,0,0,0,2,0,0,1,0,119775,2683305,52.5819,0,0,2.0355,0
"12565","12565","California City, CA","CA",19560335,2,2,2,100,100,0,2,0,0,1,0,9900,259338,191.1113,0,0,5.1194,0
"12754","12754","Camarillo, CA","CA",56939799,19,17,0,0,0,1,1,0,0,0,2,63809,2200535,284.2943,0,0,8.8582,0
"12808","12808","Cambridge, MD","MD",22411492,29,19,2,0,100,2,2,0,0,2,0,82148,792669,64.197,0,0,4.9875,0
"12835","12835","Cambridge, MN","MN",25568550,5,4,0,0,0,2,2,0,0,2,0,6865,1483123,201.1144,0,0,4.0211,0
"12862","12862","Cambridge, OH","OH",25587801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13132","13132","Camilla, GA","GA",13881086,70,70,0,0,0,0,2,0,0,0,1,59378,5970263,53.3626,0,0,1.3984,0
"13321","13321","Canton, MS","MS",27648965,10,10,1,0,0,0,2,0,0,1,0,18241,722468,90.9909,0,0,2.4525,0
"13348","13348","Canton, NY","NY",8436264,24,24,0,0,0,2,0,0,0,0,1,85848,2610434,60.6781,0,0,1.594,0
"13375","13375","Canton, OH","OH",430713060,66,36,6,0,16.6666666666667,1,1,0,0,2,0,1260621,22221009,228.5829,0,0,9.4276,8606311
"13510","13510","Cape Coral, FL","FL",855010586,100,49,5,0,20,1,3,0,0,2,2,2310092,27191920,222.7723,0,0,21.7113,10950124
"13537","13537","Cape Girardeau, MO--IL","MO",90721367,30,24,2,0,50,2,2,0,0,4,0,630967,3402943,122.6428,0,0,20.5745,0
"13591","13591","Carbondale, IL","IL",126377053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13699","13699","Carlinville, IL","IL",7351655,25,25,0,0,0,0,2,0,0,1,0,42273,1386397,41.268,0,0,1.2147,0
"13807","13807","Carlsbad, NM","NM",56866971,15,12,1,0,0,2,2,0,0,2,0,33761,697353,85.8193,0,0,1.8947,0
"13915","13915","Caro, MI","MI",9199077,15,15,0,0,0,0,2,0,0,1,0,48303,1039512,45.7471,0,0,1.3471,0
"13996","13996","Carroll, IA","IA",11968899,53,53,3,0,33.3333333333333,0,2,0,0,1,0,112283,2183193,82.7751,0,0,3.5343,0
"14050","14050","Carrollton, KY","KY",9374937,2,2,0,0,0,0,2,0,0,1,0,0,143011,55.2806,0,0,0.9099,0
"14104","14104","Carrollton, OH","OH",6184407,11,11,1,0,0,0,2,0,0,1,0,66707,803649,92.597,0,0,0.7121,0
"14158","14158","Carson City, NV","NV",59803064,9,5,2,0,0,1,1,0,0,0,2,0,1528486,170.1044,0,0,12.4853,0
"14185","14185","Cartersville, GA","GA",131065535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"14266","14266","Carthage, MO","MO",23559980,2,2,0,0,0,0,2,0,0,1,0,5462,62670,15.1085,0,0,1.0757,0
"14482","14482","Casper, WY","WY",78264757,26,7,0,0,0,2,2,0,0,2,2,86633,1994448,177.9099,0,0,13.703,0
"14644","14644","Catskill, NY","NY",10381511,8,8,0,0,0,2,0,0,0,0,1,7946,779336,136.319,0,0,1.3037,0
"14698","14698","Cedar City, UT","UT",43503343,2,1,1,0,0,2,2,0,0,2,0,32234,170123,64.4216,0,0,5.7359,0
"14752","14752","Cedar Rapids, IA","IA",216267356,27,22,2,0,0,1,2,0,0,2,1,188458,10473364,300.5028,0,0,12.3705,2779141
"14806","14806","Cedartown, GA","GA",22398891,1,1,0,0,0,0,2,0,0,1,0,2422,52826,33.7978,0,0,2.0595,0
"15022","15022","Centralia, IL","IL",30590490,104,90,1,0,0,2,2,0,0,2,0,182987,9860465,283.7245,0,0,7.5867,0
"15076","15076","Centralia, WA","WA",81798312,16,10,4,50,100,2,2,0,0,2,0,28703,4342815,246.3684,0,0,5.9593,0
"15130","15130","Chadron, NE","NE",4939944,2,2,0,0,0,0,4,0,0,2,0,1557,108428,194.2695,0,0,8.1793,0
"15211","15211","Champaign, IL","IL",120773988,106,90,2,0,50,2,3,0,0,3,2,4608661,40189366,476.2874,0,0,35.712,6476183
"15265","15265","Chanute, KS","KS",13737362,5,5,0,0,0,0,2,0,0,1,0,9068,61803,45.9844,0,0,7.5067,0
"15319","15319","Chardon, OH","OH",23330097,14,14,1,0,100,0,2,0,0,1,0,95181,1340508,70.6535,0,0,1.3473,0
"15400","15400","Charleston, IL","IL",18909621,17,17,1,0,0,2,4,0,0,3,0,14178,1126363,139.8598,0,0,3.2236,0
"15481","15481","Charleston, WV","WV",254238308,41,34,3,66.6666666666667,100,1,1,0,0,2,0,1148998,15809488,223.9762,0,0,9.6435,4881656
"15508","15508","Charleston--North Charleston, SC","SC",759667608,77,52,4,0,50,3,1,0,0,1,3,3444007,22842517,360.5881,0,0,20.6652,10069718
"15600","15600","Charles Town--Ranson, WV","WV",48053039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15643","15643","Charlotte, MI","MI",23117621,21,21,2,0,50,2,2,0,0,2,0,91544,2050057,73.7563,0,0,2.2183,0
"15670","15670","Charlotte, NC--SC","NC",1920045519,304,159,53,0,3.77358490566038,3,8,2,0,9,3,13487425,173914112,1613.6755,892325,61113,55.1968,43552618
"15670","15670","Charlotte, NC--SC","SC",1920045519,16,16,0,0,0,3,8,2,0,9,3,13487425,173914112,1613.6755,892325,61113,55.1968,43552618
"15724","15724","Charlottesville, VA","VA",89581092,55,47,5,0,100,2,1,0,0,3,0,432848,18848019,426.4209,0,0,13.6965,1463189
"15832","15832","Chattanooga, TN--GA","TN",777411843,76,56,10,60,90,1,1,0,0,3,0,2895661,20628151,560.0074,18878,6742,61.306,5306740
"15940","15940","Chelsea, MI","MI",10876792,12,8,0,0,0,2,2,0,0,2,0,53809,643847,63.0599,0,0,3.1739,0
"16183","16183","Chester, SC","SC",17924588,14,14,0,0,0,0,2,0,0,1,0,218582,739255,53.0122,0,0,1.5333,0
"16237","16237","Cheyenne, WY","WY",91135974,11,11,1,0,0,0,1,0,0,1,0,0,1799774,78.9513,0,0,2.3313,0
"16264","16264","Chicago, IL--IN","IL",6321129497,2685,1525,4680,40.9420289855072,78.6231884057971,5,13,6,1,17,5,429804274,3373828680,5728.697,21279546,988308,192.0218,1554702522
"16264","16264","Chicago, IL--IN","IN",6321129497,70,70,29,17.2413793103448,100,5,13,6,1,17,5,429804274,3373828680,5728.697,21279546,988308,192.0218,1554702522
"16291","16291","Chickasha, OK","OK",25941446,7,7,0,0,0,0,2,0,0,1,0,21332,266220,32.1638,0,0,1.4015,0
"16318","16318","Chico, CA","CA",89107270,37,25,3,0,0,1,1,0,0,0,2,721894,9287586,214.7303,0,0,7.5718,1749459
"16453","16453","Chillicothe, OH","OH",44662884,16,13,1,0,0,2,2,0,0,2,0,47125,5884711,551.7562,0,0,12.7266,0
"16561","16561","Chino Valley, AZ","AZ",32229854,4,4,0,0,0,2,0,0,0,1,0,0,400074,56.0642,0,0,1.8821,0
"16696","16696","Chowchilla, CA","CA",11686277,2,2,0,0,0,0,2,0,0,1,0,14192,354434,247.1646,0,0,5.2741,0
"16885","16885","Cincinnati, OH--KY--IN","KY",2039153240,123,97,5,0,0,4,6,1,0,8,3,16668187,156449444,1265.0062,70774,11861,64.7681,65161117
"16885","16885","Cincinnati, OH--KY--IN","OH",2039153240,326,286,19,33.3333333333333,33.3333333333333,4,6,1,0,8,3,16668187,156449444,1265.0062,70774,11861,64.7681,65161117
"16912","16912","Circleville, OH","OH",19009070,12,11,0,0,0,2,2,0,0,2,0,10287,510302,90.558,0,0,4.7074,0
"17047","17047","Clanton, AL","AL",17294594,6,6,0,0,0,0,2,0,0,1,0,9446,286060,40.1319,0,0,1.2539,0
"17209","17209","Clarion, PA","PA",17261485,12,12,0,0,0,0,2,0,0,0,1,550653,573808,61.4224,0,0,1.4277,0
"17236","17236","Clarksburg, WV","WV",99740663,20,15,1,0,0,2,2,0,0,2,0,43130,2664691,138.1998,0,0,4.0045,0
"17263","17263","Clarksdale, MS","MS",22046071,23,23,1,0,0,0,2,0,0,1,0,327468,1973954,73.8037,0,0,1.6275,0
"17317","17317","Clarksville, TN--KY","TN",283432390,29,18,2,50,100,1,1,0,0,2,0,579871,6859754,145.8422,0,0,7.4335,0
"17533","17533","Cleburne, TX","TX",45328121,0,0,4,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0
"17641","17641","Cleveland, MS","MS",21158526,40,40,1,0,0,0,2,0,0,1,0,95352,2392296,55.758,0,0,1.3002,0
"17668","17668","Cleveland, OH","OH",2004141968,356,213,154,3.8961038961039,50,5,5,2,0,10,1,24639174,275352170,1816.5832,1664340,95402,89.8643,72690808
"17722","17722","Cleveland, TN","TN",141271537,16,9,0,0,0,1,1,0,0,2,0,24240,1062376,76.9972,0,0,4.5314,0
"17938","17938","Clinton, IA--IL","IA",42706895,12,6,4,0,0,2,2,0,0,2,0,142563,1904028,134.991,0,0,11.161,0
"17965","17965","Clinton, MO","MO",14107733,4,4,1,0,0,0,2,0,0,1,0,10059,168731,41.5185,0,0,3.4801,0
