"ST_CASE","geometry"
10524,c(30.65901944, -88.23793611)
10525,c(31.52418611, -86.74569167)
10527,c(34.08132222, -86.02029444)
10528,c(31.31529444, -85.55222778)
10529,c(32.33598333, -85.019375)
10530,c(33.43371389, -86.73968333)
10531,c(31.27951667, -86.13459444)
10532,c(33.75016944, -86.12122778)
10533,c(32.81217222, -86.60163056)
10534,c(30.461125, -87.58142778)
10535,c(32.98960833, -85.841475)
10536,c(30.75186667, -88.09501944)
10537,c(33.17248611, -87.44298611)
10538,c(32.75620833, -88.16759167)
10539,c(34.26953333, -85.6811)
10540,c(31.95946111, -85.71106667)
10541,c(32.77322222, -86.54117778)
10542,c(34.665925, -86.45288333)
10543,c(33.67675833, -86.28186667)
10544,c(31.36715833, -85.85160278)
10545,c(32.24664167, -86.37063889)
10546,c(34.69568889, -86.51437778)
10547,c(33.68296944, -85.85832222)
10548,c(33.28170278, -86.44990556)
10549,c(31.19105556, -85.45192222)
10550,c(32.82791667, -85.20784167)
10551,c(34.57855833, -87.17166389)
10552,c(32.49820556, -85.01919444)
10553,c(32.44158056, -86.3058)
10554,c(33.19405278, -86.86126111)
10555,c(34.04350556, -86.75470278)
10556,c(33.80823056, -87.80151389)
10557,c(33.28039167, -87.79145)
10558,c(34.72008056, -86.60786667)
10559,c(34.14727222, -85.961375)
10560,c(32.31389722, -87.22647778)
10561,c(32.15068889, -86.24192222)
10562,c(34.77116944, -87.66757222)
10563,c(34.28888333, -86.282225)
10564,c(33.9565, -87.64647778)
10565,c(31.57903889, -88.30443611)
10566,c(33.15843333, -86.72491944)
10567,c(33.25746667, -85.5755)
10568,c(34.27778889, -86.25536389)
10569,c(33.229625, -87.73856389)
10570,c(33.46080833, -86.59345556)
10571,c(33.04237222, -85.48496389)
10572,c(34.7925, -86.55312778)
10573,c(32.32675278, -86.29798056)
10574,c(34.55170556, -86.14253611)
10575,c(33.39338611, -86.03761111)
10576,c(34.32049167, -86.20526389)
10577,c(33.77821111, -86.63815833)
10578,c(33.543025, -86.64128056)
10579,c(33.66826111, -85.56990278)
10580,c(33.49478333, -86.70429722)
10581,c(30.71728611, -88.22551944)
10582,c(34.704725, -86.39535278)
10583,c(33.34008056, -86.91732778)
10584,c(32.36708889, -86.24833333)
10585,c(33.17502778, -87.55556389)
10586,c(31.3581, -86.55723889)
10587,c(33.61828056, -86.67154167)
10589,c(32.33490278, -86.34201944)
10590,c(33.31734722, -87.03873056)
10591,c(31.00642222, -87.27034167)
10592,c(34.23334722, -87.63547778)
10593,c(34.17409444, -86.87586111)
10594,c(33.59828611, -86.80842222)
10595,c(33.18306667, -87.35993889)
10596,c(33.93524167, -85.84497778)
10597,c(34.36078611, -86.38975278)
10598,c(33.49563889, -87.11563333)
10599,c(33.96918611, -86.83478611)
10600,c(32.61234444, -86.00059722)
10601,c(33.44089167, -85.60441111)
10602,c(34.80629722, -86.11972222)
10603,c(33.52997778, -86.72673889)
10604,c(30.93848889, -87.89763889)
10605,c(32.61254444, -85.42624722)
10606,c(33.71373056, -85.60825)
10607,c(34.55891667, -86.83699444)
10608,c(32.58363889, -85.50201667)
10609,c(32.59916944, -85.57893889)
10610,c(34.85966111, -86.7225)
10611,c(34.18005278, -88.08001667)
10612,c(33.57472778, -86.88771944)
10614,c(32.89022778, -86.08428889)
10615,c(30.56769444, -87.61928611)
10616,c(33.53634167, -86.87992778)
10617,c(31.657375, -85.48156389)
10618,c(34.89547222, -86.47336389)
10619,c(34.02359167, -86.33111944)
10620,c(33.06873056, -87.57001389)
10621,c(32.94543333, -85.39601389)
10622,c(34.01733056, -86.74763056)
10623,c(32.08463611, -86.93296111)
10624,c(33.50488611, -86.81672778)
10625,c(32.38952778, -86.21615833)
10626,c(34.54559167, -87.70026389)
10627,c(33.48299444, -86.83084167)
10628,c(32.85746389, -86.46566389)
10629,c(32.631, -85.372075)
10630,c(32.69996389, -85.52074167)
10631,c(33.63810833, -85.67036667)
10632,c(32.400975, -86.33704722)
10633,c(32.03443889, -85.11848056)
10634,c(32.58076944, -85.49531944)
10635,c(34.75443056, -86.73775556)
10636,c(33.38111389, -85.34877778)
10637,c(33.39607222, -86.95068333)
10638,c(33.56350278, -86.73193611)
10639,c(31.58975833, -86.73474722)
10640,c(34.50587778, -86.86876944)
10641,c(31.157525, -85.40895278)
10642,c(31.16744444, -85.63398889)
10643,c(31.342525, -85.838925)
10644,c(34.17656389, -86.87626111)
10645,c(33.03492222, -85.43294167)
10646,c(34.67977222, -87.35336111)
10647,c(33.90976944, -86.34265)
10648,c(31.86926389, -85.15795)
10649,c(34.04753333, -86.17580278)
10650,c(32.84018056, -87.88694444)
10651,c(34.98092778, -85.730175)
10652,c(33.49784444, -86.87528333)
10653,c(33.56097222, -86.85865556)
10654,c(30.74816111, -88.09924167)
10655,c(33.48849444, -86.88748889)
10656,c(33.35433889, -86.77926944)
10657,c(33.35393611, -86.77951944)
10658,c(34.68138333, -86.85903056)
10659,c(32.59743889, -85.23826111)
10660,c(33.15370833, -86.77668611)
10661,c(32.57586389, -85.47696667)
10662,c(30.55469722, -88.16065833)
10663,c(34.17590833, -86.71983889)
10664,c(34.41865, -86.26573056)
10665,c(33.34170556, -86.92813056)
10666,c(34.77839444, -86.91944722)
10667,c(33.70761389, -86.51768611)
10668,c(31.62645833, -86.50176111)
10669,c(33.55147222, -88.22271389)
10670,c(32.887025, -85.57469444)
10671,c(33.55467778, -86.12661389)
10672,c(31.11299444, -86.06701111)
10673,c(30.56838611, -88.19031944)
10674,c(33.64437778, -85.45209722)
